dataset,n,d_bits,k,method,category,time_s,pairs,recall_vs_truth,extra
Synthetic — clustered (real-world shape),200000,256,2,pigeon — find_pairs_cross (byte),cross-join,0.020511,21709,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,2,pigeon — find_pairs_cross_bit (bit),cross-join,0.030743,21709,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,2,FAISS IndexBinaryFlat (cross),cross-join,1.481963,21709,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,2,"FAISS IndexBinaryMultiHash (cross, nflip=0)",cross-join,0.108987,21709,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join', 'nflip': 0}"
Synthetic — clustered (real-world shape),200000,256,2,"usearch HNSW (cross, approximate)",cross-join,2.270381,19112,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,4,pigeon — find_pairs_cross (byte),cross-join,0.125213,324957,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,4,pigeon — find_pairs_cross_bit (bit),cross-join,0.1324,324957,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,4,FAISS IndexBinaryFlat (cross),cross-join,1.540502,324957,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
Synthetic — clustered (real-world shape),200000,256,4,"FAISS IndexBinaryMultiHash (cross, nflip=0)",cross-join,0.236347,324957,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join', 'nflip': 0}"
Synthetic — clustered (real-world shape),200000,256,4,"usearch HNSW (cross, approximate)",cross-join,2.272182,135370,,"{'n_a': 100000, 'n_b': 100000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,2,pigeon — find_pairs_cross (byte),cross-join,0.007089,59,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,2,pigeon — find_pairs_cross_bit (bit),cross-join,0.008022,59,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,2,FAISS IndexBinaryFlat (cross),cross-join,0.098956,59,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,2,"FAISS IndexBinaryMultiHash (cross, nflip=0)",cross-join,0.010326,59,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join', 'nflip': 0}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,2,"usearch HNSW (cross, approximate)",cross-join,0.515821,59,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,4,pigeon — find_pairs_cross (byte),cross-join,0.065252,149,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,4,pigeon — find_pairs_cross_bit (bit),cross-join,0.009636,149,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,4,FAISS IndexBinaryFlat (cross),cross-join,0.081632,149,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,4,"FAISS IndexBinaryMultiHash (cross, nflip=0)",cross-join,0.02091,149,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join', 'nflip': 0}"
"Real — CIFAR-10 pHashes (64-bit, fixed)",50000,64,4,"usearch HNSW (cross, approximate)",cross-join,0.502647,148,,"{'n_a': 25000, 'n_b': 25000, 'mode': 'cross-join'}"
